#Date        Time         gpu    pwr  gtemp  mtemp 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C 
 20260319    10:11:55       0     96     34     43 
 20260319    10:11:55       1     94     34     43 
 20260319    10:11:55       2     88     35     43 
 20260319    10:11:55       3     75     33     42 
 20260319    10:12:25       0    142     36     44 
 20260319    10:12:25       1    143     36     44 
 20260319    10:12:25       2    137     37     45 
 20260319    10:12:25       3    120     35     44 
 20260319    10:12:55       0    143     36     45 
 20260319    10:12:55       1    143     36     44 
 20260319    10:12:55       2    137     37     45 
 20260319    10:12:55       3    121     36     44 
 20260319    10:13:25       0    143     36     45 
 20260319    10:13:25       1    142     36     44 
 20260319    10:13:25       2    137     37     45 
 20260319    10:13:25       3    121     36     44 
 20260319    10:13:55       0    155     36     45 
 20260319    10:13:55       1    153     37     46 
 20260319    10:13:55       2    150     38     45 
 20260319    10:13:55       3    134     36     44 
 20260319    10:14:25       0    164     38     45 
 20260319    10:14:25       1    160     38     46 
 20260319    10:14:25       2    156     39     47 
 20260319    10:14:25       3    139     38     46 
 20260319    10:14:55       0    234     39     48 
 20260319    10:14:55       1    241     40     48 
 20260319    10:14:55       2    231     41     47 
 20260319    10:14:55       3    214     39     46 
 20260319    10:15:25       0    213     39     48 
 20260319    10:15:25       1    153     39     46 
 20260319    10:15:25       2    150     40     47 
 20260319    10:15:25       3    140     39     46 
 20260319    10:15:55       0    161     38     47 
 20260319    10:15:55       1    160     39     46 
 20260319    10:15:55       2    156     40     48 
 20260319    10:15:55       3    139     38     46 
 20260319    10:16:25       0    162     38     47 
 20260319    10:16:25       1    161     39     46 
 20260319    10:16:25       2    157     39     47 
 20260319    10:16:25       3    140     38     47 
 20260319    10:16:55       0    162     38     47 
 20260319    10:16:55       1    161     39     46 
 20260319    10:16:55       2    157     39     47 
 20260319    10:16:55       3    139     38     46 
#Date        Time         gpu    pwr  gtemp  mtemp 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C 
 20260319    10:17:25       0    143     37     47 
 20260319    10:17:25       1    143     38     46 
 20260319    10:17:25       2    287     42     51 
 20260319    10:17:25       3    122     37     46 
 20260319    10:17:55       0    160     38     47 
 20260319    10:17:55       1    160     39     46 
 20260319    10:17:55       2    156     40     47 
 20260319    10:17:55       3    138     38     46 
