#Date        Time         gpu    pwr  gtemp  mtemp 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C 
 20260319    10:11:55       0     92     32     41 
 20260319    10:11:55       1     82     33     46 
 20260319    10:11:55       2     81     33     41 
 20260319    10:11:55       3     77     32     39 
 20260319    10:12:25       0    137     34     41 
 20260319    10:12:25       1    127     35     46 
 20260319    10:12:25       2    127     35     43 
 20260319    10:12:25       3    122     34     40 
 20260319    10:12:55       0    138     34     41 
 20260319    10:12:55       1    127     35     46 
 20260319    10:12:55       2    127     35     43 
 20260319    10:12:55       3    123     34     41 
 20260319    10:13:25       0    137     34     41 
 20260319    10:13:25       1    127     35     46 
 20260319    10:13:25       2    127     35     43 
 20260319    10:13:25       3    123     34     41 
 20260319    10:13:55       0    139     35     43 
 20260319    10:13:55       1    128     35     46 
 20260319    10:13:55       2    129     35     43 
 20260319    10:13:55       3    124     34     41 
 20260319    10:14:25       0    156     36     43 
 20260319    10:14:25       1    145     37     46 
 20260319    10:14:25       2    146     37     45 
 20260319    10:14:25       3    144     37     42 
 20260319    10:14:55       0    157     37     43 
 20260319    10:14:55       1    146     37     48 
 20260319    10:14:55       2    144     37     45 
 20260319    10:14:55       3    144     37     42 
 20260319    10:15:25       0    215     37     45 
 20260319    10:15:25       1    205     38     49 
 20260319    10:15:25       2    205     38     45 
 20260319    10:15:25       3    200     37     42 
