System,Label,File,JobID,Date,Nodes,Cores,Processes,Threads,Energy,KPAR,NCORE,NPAR,Bands,LOOP+ Time,Runtime
ARCHER2,6.5.1-GCC-MKL,/mnt/lustre/a2fs-work2/work/z19/z19/aturner/benchmark/VASP/Cirrus_comparison/TiO2_MCC/6.5.1-GCC-MKL/TiO2MCC_32nodes_2048cores_1threads_4NCORE_12008161_202512270930.OUTCAR,12008161,2025.12.27 09:31:19,32,2048,2048,1,9489790,1,4,512,5632,30.3881,673.308
ARCHER2,6.5.1-GCC-MKL,/mnt/lustre/a2fs-work2/work/z19/z19/aturner/benchmark/VASP/Cirrus_comparison/TiO2_MCC/6.5.1-GCC-MKL/TiO2MCC_8nodes_1024cores_1threads_16NCORE_12008146_202512271012.OUTCAR,12008146,2025.12.27 10:13:04,8,1024,1024,1,4236118,1,16,64,5184,98.818,1034.822
ARCHER2,6.5.1-GCC-MKL,/mnt/lustre/a2fs-work2/work/z19/z19/aturner/benchmark/VASP/Cirrus_comparison/TiO2_MCC/6.5.1-GCC-MKL/TiO2MCC_4nodes_512cores_1threads_4NCORE_12008134_202512270944.OUTCAR,12008134,2025.12.27 09:44:54,4,512,512,1,3459441,1,4,128,5248,214.2067,1616.168
ARCHER2,6.5.1-GCC-MKL,/mnt/lustre/a2fs-work2/work/z19/z19/aturner/benchmark/VASP/Cirrus_comparison/TiO2_MCC/6.5.1-GCC-MKL/TiO2MCC_64nodes_2048cores_1threads_16NCORE_12040211_202512300940.OUTCAR,12040211,2025.12.30 09:40:41,64,2048,2048,1,10526606,1,16,128,5248,15.1098,444.915
ARCHER2,6.5.1-GCC-MKL,/mnt/lustre/a2fs-work2/work/z19/z19/aturner/benchmark/VASP/Cirrus_comparison/TiO2_MCC/6.5.1-GCC-MKL/TiO2MCC_2nodes_32cores_1threads_16NCORE_12008117_202512270809.OUTCAR,12008117,2025.12.27 08:10:02,2,32,32,1,3459865,1,16,2,5184,595.5844,4237.904
ARCHER2,6.5.1-GCC-MKL,/mnt/lustre/a2fs-work2/work/z19/z19/aturner/benchmark/VASP/Cirrus_comparison/TiO2_MCC/6.5.1-GCC-MKL/TiO2MCC_2nodes_64cores_1threads_8NCORE_12008119_202512270809.OUTCAR,12008119,2025.12.27 08:09:48,2,64,64,1,3031778,1,8,8,5184,433.3974,3030.231
ARCHER2,6.5.1-GCC-MKL,/mnt/lustre/a2fs-work2/work/z19/z19/aturner/benchmark/VASP/Cirrus_comparison/TiO2_MCC/6.5.1-GCC-MKL/TiO2MCC_1nodes_16cores_1threads_16NCORE_11999298_202512261757.OUTCAR,11999298,2025.12.26 17:57:53,1,16,16,1,3297782,1,16,1,5184,1207.9852,8463.043
ARCHER2,6.5.1-GCC-MKL,/mnt/lustre/a2fs-work2/work/z19/z19/aturner/benchmark/VASP/Cirrus_comparison/TiO2_MCC/6.5.1-GCC-MKL/TiO2MCC_16nodes_2048cores_1threads_16NCORE_12008156_202512271017.OUTCAR,12008156,2025.12.27 10:17:52,16,2048,2048,1,9287640,1,16,128,5248,52.604,1091.433
ARCHER2,6.5.1-GCC-MKL,/mnt/lustre/a2fs-work2/work/z19/z19/aturner/benchmark/VASP/Cirrus_comparison/TiO2_MCC/6.5.1-GCC-MKL/TiO2MCC_4nodes_256cores_1threads_8NCORE_12008132_202512270942.OUTCAR,12008132,2025.12.27 09:42:45,4,256,256,1,2730948,1,8,32,5184,194.7673,1433.356
ARCHER2,6.5.1-GCC-MKL,/mnt/lustre/a2fs-work2/work/z19/z19/aturner/benchmark/VASP/Cirrus_comparison/TiO2_MCC/6.5.1-GCC-MKL/TiO2MCC_8nodes_1024cores_1threads_4NCORE_12008144_202512271012.OUTCAR,12008144,2025.12.27 10:13:09,8,1024,1024,1,4700609,1,4,256,5376,112.4986,1125.793
ARCHER2,6.5.1-GCC-MKL,/mnt/lustre/a2fs-work2/work/z19/z19/aturner/benchmark/VASP/Cirrus_comparison/TiO2_MCC/6.5.1-GCC-MKL/TiO2MCC_4nodes_256cores_1threads_16NCORE_12008133_202512270943.OUTCAR,12008133,2025.12.27 09:43:40,4,256,256,1,2562609,1,16,16,5184,186.9262,1359.547
ARCHER2,6.5.1-GCC-MKL,/mnt/lustre/a2fs-work2/work/z19/z19/aturner/benchmark/VASP/Cirrus_comparison/TiO2_MCC/6.5.1-GCC-MKL/TiO2MCC_8nodes_1024cores_1threads_8NCORE_12008145_202512271012.OUTCAR,12008145,2025.12.27 10:13:11,8,1024,1024,1,4430965,1,8,128,5248,102.4139,1055.793
ARCHER2,6.5.1-GCC-MKL,/mnt/lustre/a2fs-work2/work/z19/z19/aturner/benchmark/VASP/Cirrus_comparison/TiO2_MCC/6.5.1-GCC-MKL/TiO2MCC_2nodes_256cores_1threads_4NCORE_12008124_202512270908.OUTCAR,12008124,2025.12.27 09:09:17,2,256,256,1,2921010,1,4,64,5184,419.1385,2822.725
ARCHER2,6.5.1-GCC-MKL,/mnt/lustre/a2fs-work2/work/z19/z19/aturner/benchmark/VASP/Cirrus_comparison/TiO2_MCC/6.5.1-GCC-MKL/TiO2MCC_64nodes_2048cores_1threads_4NCORE_12040208_202512300934.OUTCAR,12040208,2025.12.30 09:35:08,64,2048,2048,1,11877201,1,4,512,5632,18.582,488.865
ARCHER2,6.5.1-GCC-MKL,/mnt/lustre/a2fs-work2/work/z19/z19/aturner/benchmark/VASP/Cirrus_comparison/TiO2_MCC/6.5.1-GCC-MKL/TiO2MCC_2nodes_256cores_1threads_16NCORE_12008126_202512270933.OUTCAR,12008126,2025.12.27 09:33:52,2,256,256,1,3006273,1,16,16,5184,371.0796,2581.545
ARCHER2,6.5.1-GCC-MKL,/mnt/lustre/a2fs-work2/work/z19/z19/aturner/benchmark/VASP/Cirrus_comparison/TiO2_MCC/6.5.1-GCC-MKL/TiO2MCC_32nodes_4096cores_1threads_8NCORE_12008165_202512271010.OUTCAR,12008165,2025.12.27 10:11:19,32,4096,4096,1,25201268,1,8,512,5632,31.9907,1589.878
ARCHER2,6.5.1-GCC-MKL,/mnt/lustre/a2fs-work2/work/z19/z19/aturner/benchmark/VASP/Cirrus_comparison/TiO2_MCC/6.5.1-GCC-MKL/TiO2MCC_1nodes_128cores_1threads_16NCORE_12008116_202512270809.OUTCAR,12008116,2025.12.27 08:09:42,1,128,128,1,2962153,1,16,8,5184,746.3207,4921.364
ARCHER2,6.5.1-GCC-MKL,/mnt/lustre/a2fs-work2/work/z19/z19/aturner/benchmark/VASP/Cirrus_comparison/TiO2_MCC/6.5.1-GCC-MKL/TiO2MCC_4nodes_128cores_1threads_4NCORE_12008128_202512270903.OUTCAR,12008128,2025.12.27 09:03:34,4,128,128,1,3222163,1,4,32,5184,230.1835,1737.443
ARCHER2,6.5.1-GCC-MKL,/mnt/lustre/a2fs-work2/work/z19/z19/aturner/benchmark/VASP/Cirrus_comparison/TiO2_MCC/6.5.1-GCC-MKL/TiO2MCC_8nodes_256cores_1threads_4NCORE_12008138_202512270951.OUTCAR,12008138,2025.12.27 09:52:14,8,256,256,1,3109139,1,4,64,5184,112.5111,923.279
ARCHER2,6.5.1-GCC-MKL,/mnt/lustre/a2fs-work2/work/z19/z19/aturner/benchmark/VASP/Cirrus_comparison/TiO2_MCC/6.5.1-GCC-MKL/TiO2MCC_16nodes_2048cores_1threads_8NCORE_12008155_202512271017.OUTCAR,12008155,2025.12.27 10:17:58,16,2048,2048,1,8839061,1,8,256,5376,55.5555,1113.175
ARCHER2,6.5.1-GCC-MKL,/mnt/lustre/a2fs-work2/work/z19/z19/aturner/benchmark/VASP/Cirrus_comparison/TiO2_MCC/6.5.1-GCC-MKL/TiO2MCC_2nodes_64cores_1threads_4NCORE_12008118_202512270809.OUTCAR,12008118,2025.12.27 08:09:46,2,64,64,1,3081823,1,4,16,5184,449.3179,3157.17
