System,Label,File,JobID,Date,Nodes,Cores,Processes,Threads,Energy,KPAR,NCORE,NPAR,Bands,LOOP+ Time,Runtime
ARCHER2,6.5.1-GCC-OpenBLAS,/mnt/lustre/a2fs-work2/work/z19/z19/aturner/benchmark/VASP/Cirrus_comparison/CdTe_Hybrid/6.5.1-GCC-OpenBLAS/CdTe_64nodes_8192cores_1threads_8NCORE_4KPAR_12018481_202512281649.OUTCAR,12018481,2025.12.28 16:49:50,64,8192,8192,1,30538772,4,8,256,768,174.2189,952.961
ARCHER2,6.5.1-GCC-OpenBLAS,/mnt/lustre/a2fs-work2/work/z19/z19/aturner/benchmark/VASP/Cirrus_comparison/CdTe_Hybrid/6.5.1-GCC-OpenBLAS/CdTe_32nodes_4096cores_1threads_16NCORE_2KPAR_12018473_202512281444.OUTCAR,12018473,2025.12.28 14:45:47,32,4096,4096,1,12298808,2,16,128,640,114.186,773.553
ARCHER2,6.5.1-GCC-OpenBLAS,/mnt/lustre/a2fs-work2/work/z19/z19/aturner/benchmark/VASP/Cirrus_comparison/CdTe_Hybrid/6.5.1-GCC-OpenBLAS/CdTe_2nodes_256cores_1threads_8NCORE_4KPAR_12018451_202512281650.OUTCAR,12018451,2025.12.28 16:50:26,2,256,256,1,6972922,4,8,8,640,2469.6936,6527.89
ARCHER2,6.5.1-GCC-OpenBLAS,/mnt/lustre/a2fs-work2/work/z19/z19/aturner/benchmark/VASP/Cirrus_comparison/CdTe_Hybrid/6.5.1-GCC-OpenBLAS/CdTe_1nodes_64cores_1threads_8NCORE_2KPAR_12018433_202512281029.OUTCAR,12018433,2025.12.28 10:30:00,1,64,64,1,4124265,2,8,4,640,2854.9426,7918.663
ARCHER2,6.5.1-GCC-OpenBLAS,/mnt/lustre/a2fs-work2/work/z19/z19/aturner/benchmark/VASP/Cirrus_comparison/CdTe_Hybrid/6.5.1-GCC-OpenBLAS/CdTe_1nodes_32cores_1threads_8NCORE_2KPAR_12018423_202512281029.OUTCAR,12018423,2025.12.28 10:30:05,1,32,32,1,5897319,2,8,2,640,4330.8089,12578.072
ARCHER2,6.5.1-GCC-OpenBLAS,/mnt/lustre/a2fs-work2/work/z19/z19/aturner/benchmark/VASP/Cirrus_comparison/CdTe_Hybrid/6.5.1-GCC-OpenBLAS/CdTe_16nodes_2048cores_1threads_4NCORE_2KPAR_12018465_202512281407.OUTCAR,12018465,2025.12.28 14:07:52,16,2048,2048,1,8147497,2,4,256,768,261.7296,973.16
ARCHER2,6.5.1-GCC-OpenBLAS,/mnt/lustre/a2fs-work2/work/z19/z19/aturner/benchmark/VASP/Cirrus_comparison/CdTe_Hybrid/6.5.1-GCC-OpenBLAS/CdTe_1nodes_128cores_1threads_4NCORE_2KPAR_12018441_202512281417.OUTCAR,12018441,2025.12.28 14:17:25,1,128,128,1,3418499,2,4,16,640,2336.7404,6304.545
ARCHER2,6.5.1-GCC-OpenBLAS,/mnt/lustre/a2fs-work2/work/z19/z19/aturner/benchmark/VASP/Cirrus_comparison/CdTe_Hybrid/6.5.1-GCC-OpenBLAS/CdTe_1nodes_64cores_1threads_4NCORE_2KPAR_12018432_202512281029.OUTCAR,12018432,2025.12.28 10:29:57,1,64,64,1,3828365,2,4,8,640,2724.4483,7476.533
ARCHER2,6.5.1-GCC-OpenBLAS,/mnt/lustre/a2fs-work2/work/z19/z19/aturner/benchmark/VASP/Cirrus_comparison/CdTe_Hybrid/6.5.1-GCC-OpenBLAS/CdTe_32nodes_4096cores_1threads_4NCORE_2KPAR_12018471_202512281242.OUTCAR,12018471,2025.12.28 12:43:17,32,4096,4096,1,22516594,2,4,512,1024,246.8186,1461.431
ARCHER2,6.5.1-GCC-OpenBLAS,/mnt/lustre/a2fs-work2/work/z19/z19/aturner/benchmark/VASP/Cirrus_comparison/CdTe_Hybrid/6.5.1-GCC-OpenBLAS/CdTe_32nodes_4096cores_1threads_8NCORE_2KPAR_12018472_202512281400.OUTCAR,12018472,2025.12.28 14:01:01,32,4096,4096,1,14564702,2,8,256,768,166.9288,944.451
