System,Label,File,JobID,Date,Nodes,Cores,Processes,Threads,Energy,KPAR,NCORE,NPAR,Bands,LOOP+ Time,Runtime
Cirrus,6.5.1-Intel-MKL,/mnt/lustre/e1000/home/z04/z04/aturner/benchmark/cirrus-ex/VASP/TiO2_MCC/6.5.1-Intel-MKL/TiO2MCC_16nodes_1152cores_1threads_4NCORE_23436_202512271028.OUTCAR,23436,2025.12.27 10:28:51,16,1152,1152,1,3196262,1,4,288,5184,24.2193,249.054
Cirrus,6.5.1-Intel-MKL,/mnt/lustre/e1000/home/z04/z04/aturner/benchmark/cirrus-ex/VASP/TiO2_MCC/6.5.1-Intel-MKL/TiO2MCC_64nodes_4608cores_1threads_8NCORE_23457_202512271051.OUTCAR,23457,2025.12.27 10:51:26,64,4608,4608,1,8603692,1,8,576,5184,10.9024,174.796
Cirrus,6.5.1-Intel-MKL,/mnt/lustre/e1000/home/z04/z04/aturner/benchmark/cirrus-ex/VASP/TiO2_MCC/6.5.1-Intel-MKL/TiO2MCC_8nodes_576cores_1threads_16NCORE_22018_202512220157.OUTCAR,22018,2025.12.22 01:57:30,8,576,576,1,2145969,1,16,36,5184,36.5731,304.249
Cirrus,6.5.1-Intel-MKL,/mnt/lustre/e1000/home/z04/z04/aturner/benchmark/cirrus-ex/VASP/TiO2_MCC/6.5.1-Intel-MKL/TiO2MCC_2nodes_288cores_1threads_8NCORE_22000_202512220140.OUTCAR,22000,2025.12.22 01:40:33,2,288,288,1,1750357,1,8,36,5184,123.5626,857.926
Cirrus,6.5.1-Intel-MKL,/mnt/lustre/e1000/home/z04/z04/aturner/benchmark/cirrus-ex/VASP/TiO2_MCC/6.5.1-Intel-MKL/TiO2MCC_16nodes_4608cores_1threads_8NCORE_22033_202512220212.OUTCAR,22033,2025.12.22 02:13:02,16,4608,4608,1,6146707,1,8,576,5184,27.2353,370.119
Cirrus,6.5.1-Intel-MKL,/mnt/lustre/e1000/home/z04/z04/aturner/benchmark/cirrus-ex/VASP/TiO2_MCC/6.5.1-Intel-MKL/TiO2MCC_1nodes_288cores_1threads_16NCORE_21994_202512220138.OUTCAR,21994,2025.12.22 01:38:23,1,288,288,1,2207797,1,16,18,5184,268.4605,1876.826
Cirrus,6.5.1-Intel-MKL,/mnt/lustre/e1000/home/z04/z04/aturner/benchmark/cirrus-ex/VASP/TiO2_MCC/6.5.1-Intel-MKL/TiO2MCC_16nodes_4608cores_1threads_8NCORE_23443_202512271034.OUTCAR,23443,2025.12.27 10:35:26,16,4608,4608,1,6024305,1,8,576,5184,27.2126,366.763
Cirrus,6.5.1-Intel-MKL,/mnt/lustre/e1000/home/z04/z04/aturner/benchmark/cirrus-ex/VASP/TiO2_MCC/6.5.1-Intel-MKL/TiO2MCC_4nodes_288cores_1threads_4NCORE_22006_202512220151.OUTCAR,22006,2025.12.22 01:51:28,4,288,288,1,1801852,1,4,72,5184,72.244,534.08
Cirrus,6.5.1-Intel-MKL,/mnt/lustre/e1000/home/z04/z04/aturner/benchmark/cirrus-ex/VASP/TiO2_MCC/6.5.1-Intel-MKL/TiO2MCC_1nodes_36cores_1threads_16NCORE_21985_202512220041.OUTCAR,21985,2025.12.22 00:41:18,1,36,36,1,2079365,1,1,36,5184,384.245,2770.349
Cirrus,6.5.1-Intel-MKL,/mnt/lustre/e1000/home/z04/z04/aturner/benchmark/cirrus-ex/VASP/TiO2_MCC/6.5.1-Intel-MKL/TiO2MCC_2nodes_288cores_1threads_4NCORE_23409_202512270946.OUTCAR,23409,2025.12.27 09:46:56,2,288,288,1,1793916,1,4,72,5184,127.3551,880.779
Cirrus,6.5.1-Intel-MKL,/mnt/lustre/e1000/home/z04/z04/aturner/benchmark/cirrus-ex/VASP/TiO2_MCC/6.5.1-Intel-MKL/TiO2MCC_16nodes_4608cores_1threads_4NCORE_23442_202512271034.OUTCAR,23442,2025.12.27 10:35:29,16,4608,4608,1,7075818,1,4,1152,5760,32.3005,429.532
