#Date        Time         gpu    pwr  gtemp  mtemp 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C 
 20260323    21:11:42       0     95     33     43 
 20260323    21:11:42       1     86     35     43 
 20260323    21:11:42       2     82     34     43 
 20260323    21:11:42       3     95     34     43 
 20260323    21:12:12       0    140     36     44 
 20260323    21:12:12       1    135     37     43 
 20260323    21:12:12       2    127     36     45 
 20260323    21:12:12       3    141     36     43 
 20260323    21:12:42       0    148     37     44 
 20260323    21:12:42       1    143     38     43 
 20260323    21:12:42       2    134     37     46 
 20260323    21:12:42       3    149     37     45 
 20260323    21:13:12       0    163     38     45 
 20260323    21:13:12       1    159     39     45 
 20260323    21:13:12       2    148     38     46 
 20260323    21:13:12       3    163     38     46 
 20260323    21:13:42       0    163     38     46 
 20260323    21:13:42       1    158     39     45 
 20260323    21:13:42       2    148     38     46 
 20260323    21:13:42       3    164     38     45 
 20260323    21:14:12       0    164     38     46 
 20260323    21:14:12       1    158     40     45 
 20260323    21:14:12       2    149     38     47 
 20260323    21:14:12       3    164     38     45 
 20260323    21:14:42       0    163     39     45 
 20260323    21:14:42       1    159     40     45 
 20260323    21:14:42       2    147     38     47 
 20260323    21:14:42       3    164     38     47 
 20260323    21:15:12       0    165     39     45 
 20260323    21:15:12       1    158     40     45 
 20260323    21:15:12       2    149     38     47 
 20260323    21:15:12       3    164     38     46 
 20260323    21:15:42       0    178     39     45 
 20260323    21:15:42       1    173     40     46 
 20260323    21:15:42       2    164     39     47 
 20260323    21:15:42       3    179     39     46 
 20260323    21:16:12       0    500     50     62 
 20260323    21:16:12       1    470     50     57 
 20260323    21:16:12       2    469     48     59 
 20260323    21:16:12       3    471     48     59 
 20260323    21:16:42       0    161     39     47 
 20260323    21:16:42       1    157     41     47 
 20260323    21:16:42       2    147     39     47 
 20260323    21:16:42       3    162     39     47 
#Date        Time         gpu    pwr  gtemp  mtemp 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C 
 20260323    21:17:12       0    153     37     46 
 20260323    21:17:12       1    148     39     45 
 20260323    21:17:12       2    141     38     47 
 20260323    21:17:12       3    154     38     47 
 20260323    21:17:42       0    528     52     62 
 20260323    21:17:42       1    515     54     63 
 20260323    21:17:42       2    505     52     63 
 20260323    21:17:42       3    516     52     63 
 20260323    21:18:12       0    488     48     57 
 20260323    21:18:12       1    464     49     57 
 20260323    21:18:12       2    463     47     55 
 20260323    21:18:12       3    472     48     57 
 20260323    21:18:42       0    491     52     61 
 20260323    21:18:42       1    472     54     64 
 20260323    21:18:42       2    458     53     64 
 20260323    21:18:42       3    475     53     63 
 20260323    21:19:12       0    371     48     54 
 20260323    21:19:12       1    347     50     55 
 20260323    21:19:12       2    334     48     57 
 20260323    21:19:12       3    348     48     56 
 20260323    21:19:42       0    419     50     55 
 20260323    21:19:42       1    419     52     56 
 20260323    21:19:42       2    404     51     58 
 20260323    21:19:42       3    418     51     57 
 20260323    21:20:12       0    418     50     57 
 20260323    21:20:12       1    419     52     55 
 20260323    21:20:12       2    403     51     58 
 20260323    21:20:12       3    417     51     56 
 20260323    21:20:42       0    143     37     46 
 20260323    21:20:42       1    138     39     47 
 20260323    21:20:42       2    130     38     47 
 20260323    21:20:42       3    142     38     47 
