#Date        Time         gpu    pwr  gtemp  mtemp 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C 
 20260323    21:13:23       0     98     33     43 
 20260323    21:13:23       1     95     34     44 
 20260323    21:13:23       2     88     34     44 
 20260323    21:13:23       3     96     32     41 
 20260323    21:13:53       0    154     35     43 
 20260323    21:13:53       1    146     36     43 
 20260323    21:13:53       2    141     36     44 
 20260323    21:13:53       3    151     35     42 
 20260323    21:14:23       0    155     35     43 
 20260323    21:14:23       1    149     37     43 
 20260323    21:14:23       2    142     36     44 
 20260323    21:14:23       3    152     35     42 
 20260323    21:14:53       0    166     37     45 
 20260323    21:14:53       1    163     38     45 
 20260323    21:14:53       2    155     38     46 
 20260323    21:14:53       3    165     37     42 
 20260323    21:15:23       0    171     37     45 
 20260323    21:15:23       1    166     38     45 
 20260323    21:15:23       2    159     38     46 
 20260323    21:15:23       3    170     37     44 
 20260323    21:15:53       0    172     37     45 
 20260323    21:15:53       1    167     39     45 
 20260323    21:15:53       2    159     38     46 
 20260323    21:15:53       3    170     37     44 
 20260323    21:16:23       0    175     37     45 
 20260323    21:16:23       1    168     39     45 
 20260323    21:16:23       2    159     38     46 
 20260323    21:16:23       3    171     37     44 
 20260323    21:16:53       0    171     37     45 
 20260323    21:16:53       1    165     39     45 
 20260323    21:16:53       2    158     38     46 
 20260323    21:16:53       3    172     37     44 
 20260323    21:17:23       0    174     38     45 
 20260323    21:17:23       1    168     39     45 
 20260323    21:17:23       2    160     38     46 
 20260323    21:17:23       3    171     37     44 
 20260323    21:17:53       0    173     37     45 
 20260323    21:17:53       1    166     39     45 
 20260323    21:17:53       2    159     38     46 
 20260323    21:17:53       3    173     37     44 
 20260323    21:18:23       0    164     37     45 
 20260323    21:18:23       1    158     38     45 
 20260323    21:18:23       2    151     38     46 
 20260323    21:18:23       3    162     37     44 
#Date        Time         gpu    pwr  gtemp  mtemp 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C 
 20260323    21:18:53       0    171     37     45 
 20260323    21:18:53       1    165     39     46 
 20260323    21:18:53       2    158     38     46 
 20260323    21:18:53       3    171     37     44 
 20260323    21:19:23       0    172     37     45 
 20260323    21:19:23       1    166     39     46 
 20260323    21:19:23       2    158     38     46 
 20260323    21:19:23       3    171     37     44 
 20260323    21:19:53       0    175     37     45 
 20260323    21:19:53       1    168     39     45 
 20260323    21:19:53       2    160     38     46 
 20260323    21:19:53       3    171     37     44 
 20260323    21:20:23       0    173     37     45 
 20260323    21:20:23       1    166     39     45 
 20260323    21:20:23       2    160     38     46 
 20260323    21:20:23       3    173     37     44 
 20260323    21:20:53       0    171     37     45 
 20260323    21:20:53       1    166     39     45 
 20260323    21:20:53       2    159     38     46 
 20260323    21:20:53       3    171     37     44 
 20260323    21:21:23       0    175     37     45 
 20260323    21:21:23       1    167     39     46 
 20260323    21:21:23       2    159     38     46 
 20260323    21:21:23       3    170     37     44 
 20260323    21:21:53       0    171     37     45 
 20260323    21:21:53       1    166     39     45 
 20260323    21:21:53       2    160     38     46 
 20260323    21:21:53       3    170     37     44 
 20260323    21:22:23       0    172     37     45 
 20260323    21:22:23       1    167     39     45 
 20260323    21:22:23       2    161     38     46 
 20260323    21:22:23       3    173     37     44 
 20260323    21:22:53       0    171     37     45 
 20260323    21:22:53       1    165     39     46 
 20260323    21:22:53       2    160     38     46 
 20260323    21:22:53       3    172     37     44 
 20260323    21:23:23       0    171     37     45 
 20260323    21:23:23       1    165     39     46 
 20260323    21:23:23       2    158     38     46 
 20260323    21:23:23       3    171     37     44 
 20260323    21:23:53       0    174     37     45 
 20260323    21:23:53       1    168     39     45 
 20260323    21:23:53       2    161     38     46 
 20260323    21:23:53       3    171     37     44 
#Date        Time         gpu    pwr  gtemp  mtemp 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C 
 20260323    21:24:23       0    171     37     45 
 20260323    21:24:23       1    165     39     45 
 20260323    21:24:23       2    159     38     46 
 20260323    21:24:23       3    172     37     44 
 20260323    21:24:53       0    173     38     45 
 20260323    21:24:53       1    166     39     46 
 20260323    21:24:53       2    159     38     46 
 20260323    21:24:53       3    171     37     44 
 20260323    21:25:23       0    175     38     45 
 20260323    21:25:23       1    168     39     45 
 20260323    21:25:23       2    161     38     46 
 20260323    21:25:23       3    172     37     44 
 20260323    21:25:53       0    172     37     45 
 20260323    21:25:53       1    166     39     45 
 20260323    21:25:53       2    160     38     46 
 20260323    21:25:53       3    173     37     44 
 20260323    21:26:23       0    174     38     45 
 20260323    21:26:23       1    167     39     45 
 20260323    21:26:23       2    161     38     46 
 20260323    21:26:23       3    172     37     44 
 20260323    21:26:53       0    174     38     45 
 20260323    21:26:53       1    166     39     45 
 20260323    21:26:53       2    159     38     46 
 20260323    21:26:53       3    170     37     44 
 20260323    21:27:23       0    173     38     45 
 20260323    21:27:23       1    167     39     46 
 20260323    21:27:23       2    159     38     46 
 20260323    21:27:23       3    173     37     44 
 20260323    21:27:53       0    164     37     45 
 20260323    21:27:53       1    157     39     45 
 20260323    21:27:53       2    151     38     46 
 20260323    21:27:53       3    162     37     44 
 20260323    21:28:23       0    173     38     45 
 20260323    21:28:23       1    165     39     45 
 20260323    21:28:23       2    159     38     46 
 20260323    21:28:23       3    170     37     44 
 20260323    21:28:53       0    174     38     45 
 20260323    21:28:53       1    167     39     45 
 20260323    21:28:53       2    160     38     46 
 20260323    21:28:53       3    170     37     44 
 20260323    21:29:23       0    175     38     45 
 20260323    21:29:23       1    167     39     45 
 20260323    21:29:23       2    160     38     46 
 20260323    21:29:23       3    171     37     44 
#Date        Time         gpu    pwr  gtemp  mtemp 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C 
 20260323    21:29:53       0    174     38     46 
 20260323    21:29:53       1    166     39     45 
 20260323    21:29:53       2    160     38     46 
 20260323    21:29:53       3    170     37     44 
 20260323    21:30:23       0    174     38     45 
 20260323    21:30:23       1    166     39     45 
 20260323    21:30:23       2    158     38     46 
 20260323    21:30:23       3    170     37     44 
 20260323    21:30:53       0    173     38     45 
 20260323    21:30:53       1    165     39     46 
 20260323    21:30:53       2    159     38     46 
 20260323    21:30:53       3    172     37     44 
 20260323    21:31:23       0    164     37     45 
 20260323    21:31:23       1    157     38     46 
 20260323    21:31:23       2    151     38     46 
 20260323    21:31:23       3    162     36     44 
 20260323    21:31:53       0    175     38     45 
 20260323    21:31:53       1    167     39     45 
 20260323    21:31:53       2    161     38     46 
 20260323    21:31:53       3    172     38     44 
 20260323    21:32:23       0    174     38     45 
 20260323    21:32:23       1    167     39     45 
 20260323    21:32:23       2    160     38     46 
 20260323    21:32:23       3    174     37     44 
 20260323    21:32:53       0    173     38     45 
 20260323    21:32:53       1    166     39     45 
 20260323    21:32:53       2    158     38     46 
 20260323    21:32:53       3    171     37     44 
 20260323    21:33:23       0    173     38     45 
 20260323    21:33:23       1    165     39     45 
 20260323    21:33:23       2    159     38     47 
 20260323    21:33:23       3    172     37     44 
 20260323    21:33:53       0    174     38     46 
 20260323    21:33:53       1    169     39     45 
 20260323    21:33:53       2    162     38     46 
 20260323    21:33:53       3    172     37     44 
 20260323    21:34:23       0    173     37     45 
 20260323    21:34:23       1    166     39     45 
 20260323    21:34:23       2    161     38     46 
 20260323    21:34:23       3    173     37     44 
 20260323    21:34:53       0    165     37     45 
 20260323    21:34:53       1    158     38     45 
 20260323    21:34:53       2    152     38     46 
 20260323    21:34:53       3    163     37     44 
#Date        Time         gpu    pwr  gtemp  mtemp 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C 
 20260323    21:35:23       0    174     37     45 
 20260323    21:35:23       1    166     39     45 
 20260323    21:35:23       2    160     38     46 
 20260323    21:35:23       3    173     37     44 
 20260323    21:35:53       0    174     37     45 
 20260323    21:35:53       1    166     39     46 
 20260323    21:35:53       2    159     38     46 
 20260323    21:35:53       3    170     37     44 
 20260323    21:36:23       0    173     37     45 
 20260323    21:36:23       1    166     39     45 
 20260323    21:36:23       2    159     38     46 
 20260323    21:36:23       3    170     37     44 
 20260323    21:36:53       0    174     37     45 
 20260323    21:36:53       1    166     39     45 
 20260323    21:36:53       2    160     38     46 
 20260323    21:36:53       3    174     37     44 
 20260323    21:37:23       0    173     37     45 
 20260323    21:37:23       1    166     39     45 
 20260323    21:37:23       2    159     38     46 
 20260323    21:37:23       3    172     37     44 
 20260323    21:37:53       0    172     37     45 
 20260323    21:37:53       1    165     39     45 
 20260323    21:37:53       2    159     38     46 
 20260323    21:37:53       3    171     37     44 
 20260323    21:38:23       0    173     37     45 
 20260323    21:38:23       1    165     39     45 
 20260323    21:38:23       2    159     38     46 
 20260323    21:38:23       3    169     37     44 
 20260323    21:38:53       0    173     37     45 
 20260323    21:38:53       1    166     39     45 
 20260323    21:38:53       2    162     38     46 
 20260323    21:38:53       3    173     37     44 
 20260323    21:39:23       0    172     38     45 
 20260323    21:39:23       1    167     39     45 
 20260323    21:39:23       2    160     38     46 
 20260323    21:39:23       3    171     37     44 
 20260323    21:39:53       0    174     38     45 
 20260323    21:39:53       1    167     39     46 
 20260323    21:39:53       2    161     38     46 
 20260323    21:39:53       3    174     37     44 
 20260323    21:40:23       0    174     37     45 
 20260323    21:40:23       1    165     39     45 
 20260323    21:40:23       2    160     38     46 
 20260323    21:40:23       3    173     37     44 
#Date        Time         gpu    pwr  gtemp  mtemp 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C 
 20260323    21:40:53       0    173     37     45 
 20260323    21:40:53       1    166     39     45 
 20260323    21:40:53       2    159     38     46 
 20260323    21:40:53       3    171     37     44 
 20260323    21:41:24       0    173     37     45 
 20260323    21:41:24       1    166     39     45 
 20260323    21:41:24       2    159     38     46 
 20260323    21:41:24       3    170     37     44 
 20260323    21:41:54       0    174     37     45 
 20260323    21:41:54       1    168     39     45 
 20260323    21:41:54       2    161     38     46 
 20260323    21:41:54       3    172     37     44 
 20260323    21:42:24       0    173     37     45 
 20260323    21:42:24       1    166     39     45 
 20260323    21:42:24       2    159     38     46 
 20260323    21:42:24       3    171     37     44 
 20260323    21:42:54       0    174     37     45 
 20260323    21:42:54       1    166     39     45 
 20260323    21:42:54       2    160     38     46 
 20260323    21:42:54       3    173     37     44 
 20260323    21:43:24       0    172     37     45 
 20260323    21:43:24       1    165     39     45 
 20260323    21:43:24       2    159     38     46 
 20260323    21:43:24       3    171     37     44 
 20260323    21:43:54       0    172     37     45 
 20260323    21:43:54       1    166     39     46 
 20260323    21:43:54       2    159     38     46 
 20260323    21:43:54       3    171     37     44 
 20260323    21:44:24       0    176     37     45 
 20260323    21:44:24       1    168     39     45 
 20260323    21:44:24       2    160     38     46 
 20260323    21:44:24       3    171     37     44 
 20260323    21:44:54       0    174     38     45 
 20260323    21:44:54       1    168     39     45 
 20260323    21:44:54       2    162     38     46 
 20260323    21:44:54       3    172     37     44 
 20260323    21:45:24       0    173     38     45 
 20260323    21:45:24       1    167     39     45 
 20260323    21:45:24       2    162     38     46 
 20260323    21:45:24       3    173     37     44 
 20260323    21:45:54       0    174     38     46 
 20260323    21:45:54       1    166     39     45 
 20260323    21:45:54       2    159     38     46 
 20260323    21:45:54       3    170     37     44 
#Date        Time         gpu    pwr  gtemp  mtemp 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C 
 20260323    21:46:24       0    175     38     45 
 20260323    21:46:24       1    167     39     45 
 20260323    21:46:24       2    160     38     46 
 20260323    21:46:24       3    172     38     44 
 20260323    21:46:54       0    173     37     45 
 20260323    21:46:54       1    165     39     45 
 20260323    21:46:54       2    158     38     46 
 20260323    21:46:54       3    171     37     44 
 20260323    21:47:24       0    173     38     45 
 20260323    21:47:24       1    167     39     46 
 20260323    21:47:24       2    160     38     46 
 20260323    21:47:24       3    170     37     44 
 20260323    21:47:54       0    174     38     45 
 20260323    21:47:54       1    166     39     45 
 20260323    21:47:54       2    159     38     46 
 20260323    21:47:54       3    170     37     44 
 20260323    21:48:24       0    176     38     45 
 20260323    21:48:24       1    167     39     45 
 20260323    21:48:24       2    160     38     46 
 20260323    21:48:24       3    171     37     44 
 20260323    21:48:54       0    172     37     45 
 20260323    21:48:54       1    166     39     45 
 20260323    21:48:54       2    158     38     46 
 20260323    21:48:54       3    168     37     44 
 20260323    21:49:24       0    173     37     45 
 20260323    21:49:24       1    165     39     45 
 20260323    21:49:24       2    158     38     46 
 20260323    21:49:24       3    171     37     44 
 20260323    21:49:54       0    173     37     45 
 20260323    21:49:54       1    166     39     45 
 20260323    21:49:54       2    160     38     46 
 20260323    21:49:54       3    174     37     44 
 20260323    21:50:24       0    173     37     45 
 20260323    21:50:24       1    166     39     45 
 20260323    21:50:24       2    159     38     46 
 20260323    21:50:24       3    170     37     44 
 20260323    21:50:54       0    175     37     45 
 20260323    21:50:54       1    168     39     45 
 20260323    21:50:54       2    161     38     46 
 20260323    21:50:54       3    171     37     44 
 20260323    21:51:24       0    173     37     45 
 20260323    21:51:24       1    166     39     45 
 20260323    21:51:24       2    161     38     46 
 20260323    21:51:24       3    171     37     44 
#Date        Time         gpu    pwr  gtemp  mtemp 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C 
 20260323    21:51:54       0    172     37     45 
 20260323    21:51:54       1    165     39     45 
 20260323    21:51:54       2    159     38     46 
 20260323    21:51:54       3    171     37     44 
 20260323    21:52:24       0    163     36     45 
 20260323    21:52:24       1    156     38     45 
 20260323    21:52:24       2    150     37     46 
 20260323    21:52:24       3    160     36     44 
 20260323    21:52:54       0    175     37     45 
 20260323    21:52:54       1    167     39     45 
 20260323    21:52:54       2    160     38     46 
 20260323    21:52:54       3    171     37     44 
 20260323    21:53:24       0    172     37     45 
 20260323    21:53:24       1    165     39     45 
 20260323    21:53:24       2    159     38     46 
 20260323    21:53:24       3    172     37     44 
 20260323    21:53:54       0    175     37     45 
