#Date        Time         gpu    pwr  gtemp  mtemp 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C 
 20260320    15:19:58       0     92     32     41 
 20260320    15:19:58       1     95     34     44 
 20260320    15:19:58       2     94     34     43 
 20260320    15:19:58       3     88     33     41 
 20260320    15:20:28       0     92     32     41 
 20260320    15:20:28       1    146     36     44 
 20260320    15:20:28       2     94     34     43 
 20260320    15:20:28       3     88     33     41 
 20260320    15:20:58       0    138     34     41 
 20260320    15:20:58       1    144     37     45 
 20260320    15:20:58       2    143     37     43 
 20260320    15:20:58       3    137     35     41 
 20260320    15:21:28       0    153     35     41 
 20260320    15:21:28       1    158     38     44 
 20260320    15:21:28       2    157     38     45 
 20260320    15:21:28       3    151     36     42 
 20260320    15:21:58       0    159     36     43 
 20260320    15:21:58       1    165     38     46 
 20260320    15:21:58       2    163     38     46 
 20260320    15:21:58       3    156     37     42 
 20260320    15:22:28       0    160     36     43 
 20260320    15:22:28       1    163     39     46 
 20260320    15:22:28       2    163     39     45 
 20260320    15:22:28       3    154     37     43 
 20260320    15:22:58       0    160     36     43 
 20260320    15:22:58       1    165     39     46 
 20260320    15:22:58       2    162     39     45 
 20260320    15:22:58       3    158     37     42 
 20260320    15:23:28       0    164     37     43 
 20260320    15:23:28       1    172     39     46 
 20260320    15:23:28       2    167     39     45 
 20260320    15:23:28       3    162     37     43 
 20260320    15:23:58       0    160     36     43 
 20260320    15:23:58       1    165     39     46 
 20260320    15:23:58       2    162     39     45 
 20260320    15:23:58       3    156     37     43 
 20260320    15:24:28       0    161     36     43 
 20260320    15:24:28       1    167     39     46 
 20260320    15:24:28       2    163     39     45 
 20260320    15:24:28       3    158     37     43 
 20260320    15:24:58       0    160     36     43 
 20260320    15:24:58       1    167     39     47 
 20260320    15:24:58       2    161     39     45 
 20260320    15:24:58       3    158     37     43 
#Date        Time         gpu    pwr  gtemp  mtemp 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C 
 20260320    15:25:28       0    160     36     43 
 20260320    15:25:28       1    166     39     46 
 20260320    15:25:28       2    161     39     45 
 20260320    15:25:28       3    156     37     43 
 20260320    15:25:58       0    160     36     44 
 20260320    15:25:58       1    163     39     46 
 20260320    15:25:58       2    166     39     45 
 20260320    15:25:58       3    157     37     43 
 20260320    15:26:28       0    160     36     43 
 20260320    15:26:28       1    166     39     46 
 20260320    15:26:28       2    162     40     46 
 20260320    15:26:28       3    157     37     43 
 20260320    15:26:58       0    157     36     43 
 20260320    15:26:58       1    164     39     46 
 20260320    15:26:58       2    165     39     45 
 20260320    15:26:58       3    157     37     43 
 20260320    15:27:28       0    162     36     43 
 20260320    15:27:28       1    164     39     46 
 20260320    15:27:28       2    162     39     45 
 20260320    15:27:28       3    156     37     43 
 20260320    15:27:58       0    163     36     43 
 20260320    15:27:58       1    167     39     46 
 20260320    15:27:58       2    162     39     46 
 20260320    15:27:58       3    159     37     43 
