#Date        Time         gpu    pwr  gtemp  mtemp 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C 
 20260320    15:20:05       0     84     32     41 
 20260320    15:20:05       1     90     35     43 
 20260320    15:20:05       2     93     34     44 
 20260320    15:20:05       3     81     32     41 
 20260320    15:20:35       0    131     34     42 
 20260320    15:20:35       1    139     37     43 
 20260320    15:20:35       2    143     36     44 
 20260320    15:20:35       3    127     34     41 
 20260320    15:21:05       0    143     35     42 
 20260320    15:21:05       1    153     38     43 
 20260320    15:21:05       2    156     37     46 
 20260320    15:21:05       3    140     34     41 
 20260320    15:21:35       0    153     36     44 
 20260320    15:21:35       1    163     39     43 
 20260320    15:21:35       2    166     39     46 
 20260320    15:21:35       3    149     36     43 
 20260320    15:22:05       0    153     36     43 
 20260320    15:22:05       1    162     39     43 
 20260320    15:22:05       2    165     38     46 
 20260320    15:22:05       3    148     36     43 
 20260320    15:22:35       0    408     41     50 
 20260320    15:22:35       1    436     45     53 
 20260320    15:22:35       2    430     44     53 
 20260320    15:22:35       3    419     43     52 
 20260320    15:23:05       0    149     36     44 
 20260320    15:23:05       1    159     40     45 
 20260320    15:23:05       2    164     39     48 
 20260320    15:23:05       3    147     36     43 
 20260320    15:23:35       0    421     42     50 
 20260320    15:23:35       1    419     46     53 
 20260320    15:23:35       2    424     48     58 
 20260320    15:23:35       3    404     42     51 
 20260320    15:24:05       0    442     46     56 
 20260320    15:24:05       1    448     49     58 
 20260320    15:24:05       2    455     49     59 
 20260320    15:24:05       3    435     45     55 
 20260320    15:24:35       0    398     45     55 
 20260320    15:24:35       1    417     50     60 
 20260320    15:24:35       2    420     49     60 
 20260320    15:24:35       3    397     45     55 
 20260320    15:25:05       0    355     44     50 
 20260320    15:25:05       1    360     49     53 
 20260320    15:25:05       2    358     48     55 
 20260320    15:25:05       3    340     44     49 
#Date        Time         gpu    pwr  gtemp  mtemp 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C 
 20260320    15:25:35       0    130     35     44 
 20260320    15:25:35       1    140     39     45 
 20260320    15:25:35       2    143     38     48 
 20260320    15:25:35       3    129     35     43 
 20260320    15:26:05       0    131     34     42 
 20260320    15:26:05       1    139     38     45 
 20260320    15:26:05       2    142     38     46 
 20260320    15:26:05       3    129     35     43 
