#Date        Time         gpu    pwr  gtemp  mtemp 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C 
 20260323    22:18:03       0     89     33     42 
 20260323    22:18:03       1     97     35     45 
 20260323    22:18:03       2     82     34     42 
 20260323    22:18:03       3     86     33     42 
 20260323    22:18:33       0     88     33     42 
 20260323    22:18:33       1     96     35     45 
 20260323    22:18:33       2     82     34     42 
 20260323    22:18:33       3     86     33     41 
 20260323    22:19:03       0    137     34     42 
 20260323    22:19:03       1    146     37     45 
 20260323    22:19:03       2    131     36     44 
 20260323    22:19:03       3    134     35     41 
 20260323    22:19:33       0    143     35     42 
 20260323    22:19:33       1    154     37     45 
 20260323    22:19:33       2    139     36     44 
 20260323    22:19:33       3    140     35     41 
 20260323    22:20:03       0    157     36     42 
 20260323    22:20:03       1    166     39     47 
 20260323    22:20:03       2    150     37     44 
 20260323    22:20:03       3    154     37     43 
 20260323    22:20:33       0    160     37     43 
 20260323    22:20:33       1    167     39     47 
 20260323    22:20:33       2    149     37     44 
 20260323    22:20:33       3    152     37     43 
 20260323    22:21:03       0    155     36     43 
 20260323    22:21:03       1    166     39     48 
 20260323    22:21:03       2    148     37     44 
 20260323    22:21:03       3    152     37     43 
 20260323    22:21:33       0    156     36     42 
 20260323    22:21:33       1    169     39     48 
 20260323    22:21:33       2    152     37     44 
 20260323    22:21:33       3    155     37     43 
 20260323    22:22:03       0    302     40     48 
 20260323    22:22:03       1    312     43     53 
 20260323    22:22:03       2    294     43     52 
 20260323    22:22:03       3    294     42     49 
 20260323    22:22:33       0    208     36     44 
 20260323    22:22:33       1    205     41     49 
 20260323    22:22:33       2    218     39     47 
 20260323    22:22:33       3    213     37     45 
 20260323    22:23:03       0    154     36     42 
 20260323    22:23:03       1    166     39     47 
 20260323    22:23:03       2    148     38     45 
 20260323    22:23:03       3    151     37     43 
#Date        Time         gpu    pwr  gtemp  mtemp 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C 
 20260323    22:23:33       0    308     42     49 
 20260323    22:23:33       1    310     45     54 
 20260323    22:23:33       2    293     42     51 
 20260323    22:23:33       3    298     42     50 
 20260323    22:24:03       0    306     42     52 
 20260323    22:24:03       1    309     46     56 
 20260323    22:24:03       2    294     43     52 
 20260323    22:24:03       3    299     43     53 
 20260323    22:24:33       0    315     41     48 
 20260323    22:24:33       1    322     44     53 
 20260323    22:24:33       2    303     40     47 
 20260323    22:24:33       3    310     42     49 
 20260323    22:25:03       0    306     40     49 
 20260323    22:25:03       1    310     43     51 
 20260323    22:25:03       2    298     42     50 
 20260323    22:25:03       3    296     40     47 
 20260323    22:25:33       0    137     35     42 
 20260323    22:25:33       1    147     38     47 
 20260323    22:25:33       2    132     36     45 
 20260323    22:25:33       3    136     35     43 
 20260323    22:26:03       0    137     35     42 
 20260323    22:26:03       1    147     37     47 
 20260323    22:26:03       2    131     36     44 
 20260323    22:26:03       3    136     35     41 
 20260323    22:26:33       0    137     35     42 
 20260323    22:26:33       1    147     37     45 
 20260323    22:26:33       2    132     36     44 
 20260323    22:26:33       3    135     35     41 
 20260323    22:27:03       0    137     35     42 
 20260323    22:27:03       1    147     37     45 
 20260323    22:27:03       2    132     36     44 
 20260323    22:27:03       3    135     35     41 
 20260323    22:27:33       0    137     35     42 
 20260323    22:27:33       1    147     37     45 
 20260323    22:27:33       2    132     36     44 
 20260323    22:27:33       3    136     35     41 
 20260323    22:28:03       0    137     34     42 
 20260323    22:28:03       1    147     37     45 
 20260323    22:28:03       2    132     36     44 
 20260323    22:28:03       3    136     35     41 
 20260323    22:28:33       0    137     34     42 
 20260323    22:28:33       1    147     37     45 
 20260323    22:28:33       2    132     36     44 
 20260323    22:28:33       3    135     35     41 
#Date        Time         gpu    pwr  gtemp  mtemp 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C 
 20260323    22:29:03       0    137     34     42 
 20260323    22:29:03       1    147     37     45 
 20260323    22:29:03       2    132     36     44 
 20260323    22:29:03       3    135     35     41 
 20260323    22:29:33       0    137     34     42 
 20260323    22:29:33       1    147     37     45 
 20260323    22:29:33       2    132     36     43 
 20260323    22:29:33       3    135     35     41 
 20260323    22:30:03       0    137     34     42 
 20260323    22:30:03       1    147     37     45 
 20260323    22:30:03       2    132     36     44 
 20260323    22:30:03       3    135     35     41 
 20260323    22:30:33       0    137     34     42 
 20260323    22:30:33       1    147     37     45 
 20260323    22:30:33       2    132     36     44 
 20260323    22:30:33       3    136     35     41 
 20260323    22:31:03       0    137     34     42 
 20260323    22:31:03       1    147     37     45 
 20260323    22:31:03       2    132     36     44 
 20260323    22:31:03       3    136     35     41 
 20260323    22:31:33       0    137     34     42 
 20260323    22:31:33       1    146     37     45 
 20260323    22:31:33       2    131     36     44 
 20260323    22:31:33       3    136     35     41 
 20260323    22:32:03       0    309     43     50 
 20260323    22:32:03       1    311     43     51 
 20260323    22:32:03       2    295     43     51 
 20260323    22:32:03       3    303     44     51 
 20260323    22:32:33       0    319     42     47 
 20260323    22:32:33       1    341     46     52 
 20260323    22:32:33       2    331     45     51 
 20260323    22:32:33       3    315     43     47 
 20260323    22:33:03       0    307     41     47 
 20260323    22:33:03       1    358     48     53 
 20260323    22:33:03       2    341     46     51 
 20260323    22:33:03       3    343     44     49 
 20260323    22:33:33       0    151     36     44 
 20260323    22:33:33       1    163     39     49 
 20260323    22:33:33       2    147     38     45 
 20260323    22:33:33       3    150     37     43 
 20260323    22:34:03       0    137     35     42 
 20260323    22:34:03       1    147     38     47 
 20260323    22:34:03       2    132     36     44 
 20260323    22:34:03       3    135     35     43 
