#Date        Time         gpu    pwr  gtemp  mtemp 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C 
 20260321    07:35:21       0     90     32     41 
 20260321    07:35:21       1     82     34     43 
 20260321    07:35:21       2     87     33     44 
 20260321    07:35:21       3    100     32     41 
 20260321    07:35:51       0    137     34     41 
 20260321    07:35:51       1    129     36     43 
 20260321    07:35:51       2    133     36     46 
 20260321    07:35:51       3    147     33     41 
 20260321    07:36:21       0    180     38     44 
 20260321    07:36:21       1    170     41     47 
 20260321    07:36:21       2    178     41     48 
 20260321    07:36:21       3    188     39     45 
 20260321    07:36:51       0    418     46     56 
 20260321    07:36:51       1    445     51     58 
 20260321    07:36:51       2    419     49     60 
 20260321    07:36:51       3    457     46     55 
 20260321    07:37:21       0    164     36     43 
 20260321    07:37:21       1    155     40     47 
 20260321    07:37:21       2    159     39     48 
 20260321    07:37:21       3    175     36     45 
 20260321    07:37:51       0    332     44     54 
 20260321    07:37:51       1    328     49     58 
 20260321    07:37:51       2    330     47     61 
 20260321    07:37:51       3    349     44     53 
 20260321    07:38:21       0    489     46     57 
 20260321    07:38:21       1    480     52     59 
 20260321    07:38:21       2    485     50     66 
 20260321    07:38:21       3    508     47     57 
 20260321    07:38:51       0    482     43     50 
 20260321    07:38:51       1    484     49     56 
 20260321    07:38:51       2    474     48     60 
 20260321    07:38:51       3    477     44     53 
 20260321    07:39:21       0    174     42     48 
 20260321    07:39:21       1    175     46     51 
 20260321    07:39:21       2    172     45     55 
 20260321    07:39:21       3    187     42     48 
 20260321    07:39:51       0    400     45     50 
 20260321    07:39:51       1    400     51     53 
 20260321    07:39:51       2    400     50     58 
 20260321    07:39:51       3    411     46     51 
 20260321    07:40:21       0    339     44     51 
 20260321    07:40:21       1    337     50     55 
 20260321    07:40:21       2    332     48     57 
 20260321    07:40:21       3    350     45     51 
#Date        Time         gpu    pwr  gtemp  mtemp 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C 
 20260321    07:40:51       0    137     35     43 
 20260321    07:40:51       1    130     39     47 
 20260321    07:40:51       2    134     38     48 
 20260321    07:40:51       3    148     35     43 
 20260321    07:41:21       0    140     35     43 
 20260321    07:41:21       1    133     38     45 
 20260321    07:41:21       2    137     37     48 
 20260321    07:41:21       3    150     35     44 
