#Date        Time         gpu    pwr  gtemp  mtemp 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C 
 20260323    21:11:42       0     89     32     40 
 20260323    21:11:42       1     97     34     43 
 20260323    21:11:42       2     83     33     42 
 20260323    21:11:42       3     86     33     41 
 20260323    21:12:12       0    139     34     42 
 20260323    21:12:12       1    146     36     45 
 20260323    21:12:12       2    132     35     42 
 20260323    21:12:12       3    136     35     41 
 20260323    21:12:42       0    138     34     42 
 20260323    21:12:42       1    145     37     45 
 20260323    21:12:42       2    130     35     42 
 20260323    21:12:42       3    135     35     41 
 20260323    21:13:12       0    507     45     53 
 20260323    21:13:12       1    517     48     57 
 20260323    21:13:12       2    464     46     55 
 20260323    21:13:12       3    504     46     53 
 20260323    21:13:42       0    522     48     58 
 20260323    21:13:42       1    534     53     64 
 20260323    21:13:42       2    517     51     61 
 20260323    21:13:42       3    513     49     58 
 20260323    21:14:12       0    141     36     44 
 20260323    21:14:12       1    151     39     49 
 20260323    21:14:12       2    134     38     47 
 20260323    21:14:12       3    139     36     43 
 20260323    21:14:42       0    506     48     56 
 20260323    21:14:42       1    523     53     64 
 20260323    21:14:42       2    502     51     61 
 20260323    21:14:42       3    503     49     58 
 20260323    21:15:12       0    160     37     44 
 20260323    21:15:12       1    169     41     51 
 20260323    21:15:12       2    155     39     48 
 20260323    21:15:12       3    156     37     45 
 20260323    21:15:42       0    520     49     57 
 20260323    21:15:42       1    535     54     65 
 20260323    21:15:42       2    514     52     63 
 20260323    21:15:42       3    516     50     57 
 20260323    21:16:12       0    519     48     58 
 20260323    21:16:12       1    533     54     65 
 20260323    21:16:12       2    514     53     62 
 20260323    21:16:12       3    515     50     59 
 20260323    21:16:42       0    521     49     59 
 20260323    21:16:42       1    538     55     66 
 20260323    21:16:42       2    515     53     63 
 20260323    21:16:42       3    516     50     59 
#Date        Time         gpu    pwr  gtemp  mtemp 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C 
 20260323    21:17:12       0    394     46     50 
 20260323    21:17:12       1    414     52     60 
 20260323    21:17:12       2    390     50     55 
 20260323    21:17:12       3    392     47     51 
 20260323    21:17:42       0    392     46     52 
 20260323    21:17:42       1    412     51     57 
 20260323    21:17:42       2    392     50     55 
 20260323    21:17:42       3    391     47     51 
 20260323    21:18:12       0    392     46     50 
 20260323    21:18:12       1    420     51     59 
 20260323    21:18:12       2    398     50     55 
 20260323    21:18:12       3    388     47     51 
 20260323    21:18:42       0    394     46     50 
 20260323    21:18:42       1    412     51     58 
 20260323    21:18:42       2    391     49     54 
 20260323    21:18:42       3    391     47     51 
 20260323    21:19:12       0    162     37     46 
 20260323    21:19:12       1    147     40     51 
 20260323    21:19:12       2    131     39     48 
 20260323    21:19:12       3    135     37     45 
 20260323    21:19:42       0    142     35     44 
 20260323    21:19:42       1    150     39     49 
 20260323    21:19:42       2    133     37     46 
 20260323    21:19:42       3    138     36     43 
 20260323    21:20:12       0    135     35     43 
 20260323    21:20:12       1    146     38     47 
 20260323    21:20:12       2    130     37     45 
 20260323    21:20:12       3    134     36     43 
