#Date        Time         gpu    pwr  gtemp  mtemp 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C 
 20260323    21:22:02       0     95     34     44 
 20260323    21:22:02       1     86     36     43 
 20260323    21:22:02       2     82     35     45 
 20260323    21:22:02       3     95     35     45 
 20260323    21:22:32       0    140     36     44 
 20260323    21:22:32       1    134     38     43 
 20260323    21:22:32       2    127     36     45 
 20260323    21:22:32       3    141     36     45 
 20260323    21:23:02       0    141     36     44 
 20260323    21:23:02       1    135     38     45 
 20260323    21:23:02       2    128     37     46 
 20260323    21:23:02       3    141     37     45 
 20260323    21:23:32       0    161     39     45 
 20260323    21:23:32       1    157     40     45 
 20260323    21:23:32       2    146     38     47 
 20260323    21:23:32       3    160     38     47 
 20260323    21:24:02       0    164     38     45 
 20260323    21:24:02       1    160     40     45 
 20260323    21:24:02       2    149     38     47 
 20260323    21:24:02       3    164     38     47 
 20260323    21:24:32       0    163     38     45 
 20260323    21:24:32       1    157     40     45 
 20260323    21:24:32       2    147     38     47 
 20260323    21:24:32       3    162     38     47 
 20260323    21:25:02       0    164     38     45 
 20260323    21:25:02       1    158     39     45 
 20260323    21:25:02       2    149     38     47 
 20260323    21:25:02       3    163     38     45 
 20260323    21:25:32       0    164     38     45 
 20260323    21:25:32       1    157     40     45 
 20260323    21:25:32       2    149     38     47 
 20260323    21:25:32       3    163     38     47 
 20260323    21:26:02       0    164     38     45 
 20260323    21:26:02       1    157     40     45 
 20260323    21:26:02       2    149     38     47 
 20260323    21:26:02       3    163     38     46 
 20260323    21:26:32       0    164     38     45 
 20260323    21:26:32       1    158     40     45 
 20260323    21:26:32       2    149     38     47 
 20260323    21:26:32       3    163     38     47 
 20260323    21:27:02       0    162     38     45 
 20260323    21:27:02       1    159     40     45 
 20260323    21:27:02       2    147     38     46 
 20260323    21:27:02       3    162     38     47 
#Date        Time         gpu    pwr  gtemp  mtemp 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C 
 20260323    21:27:32       0    163     38     45 
 20260323    21:27:32       1    158     40     45 
 20260323    21:27:32       2    149     38     46 
 20260323    21:27:32       3    162     38     45 
 20260323    21:28:02       0    165     38     45 
 20260323    21:28:02       1    155     40     45 
 20260323    21:28:02       2    149     38     47 
 20260323    21:28:02       3    164     38     46 
 20260323    21:28:32       0    164     38     45 
 20260323    21:28:32       1    157     40     45 
 20260323    21:28:32       2    150     38     47 
 20260323    21:28:32       3    163     38     47 
 20260323    21:29:02       0    470     45     51 
 20260323    21:29:02       1    465     46     51 
 20260323    21:29:02       2    463     45     53 
 20260323    21:29:02       3    486     45     51 
 20260323    21:29:32       0    472     51     60 
 20260323    21:29:32       1    461     53     63 
 20260323    21:29:32       2    460     52     64 
