#Date        Time         gpu    pwr  gtemp  mtemp 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C 
 20260323    16:03:24       0     98     33     43 
 20260323    16:03:24       1     90     34     44 
 20260323    16:03:24       2     90     34     42 
 20260323    16:03:24       3     83     33     41 
 20260323    16:03:54       0     97     33     42 
 20260323    16:03:54       1     89     34     44 
 20260323    16:03:54       2     90     34     42 
 20260323    16:03:54       3     82     33     41 
 20260323    16:04:24       0    147     35     43 
 20260323    16:04:24       1    140     36     44 
 20260323    16:04:24       2    136     36     42 
 20260323    16:04:24       3    128     35     43 
 20260323    16:04:54       0    162     36     42 
 20260323    16:04:54       1    154     37     44 
 20260323    16:04:54       2    150     37     44 
 20260323    16:04:54       3    143     36     43 
 20260323    16:05:24       0    167     37     44 
 20260323    16:05:24       1    158     38     45 
 20260323    16:05:24       2    155     38     44 
 20260323    16:05:24       3    146     36     43 
 20260323    16:05:54       0    168     37     44 
 20260323    16:05:54       1    158     38     45 
 20260323    16:05:54       2    155     38     45 
 20260323    16:05:54       3    150     37     43 
 20260323    16:06:24       0    170     37     44 
 20260323    16:06:24       1    159     38     45 
 20260323    16:06:24       2    157     38     44 
 20260323    16:06:24       3    150     36     43 
 20260323    16:06:54       0    360     40     48 
 20260323    16:06:54       1    347     43     50 
 20260323    16:06:54       2    341     42     49 
 20260323    16:06:54       3    338     40     47 
 20260323    16:07:24       0    165     37     44 
 20260323    16:07:24       1    159     39     46 
 20260323    16:07:24       2    157     39     46 
 20260323    16:07:24       3    146     37     43 
 20260323    16:07:54       0    170     37     44 
 20260323    16:07:54       1    162     39     46 
 20260323    16:07:54       2    160     38     45 
 20260323    16:07:54       3    151     37     43 
 20260323    16:08:24       0    392     42     48 
 20260323    16:08:24       1    362     44     52 
 20260323    16:08:24       2    366     43     53 
 20260323    16:08:24       3    337     40     48 
#Date        Time         gpu    pwr  gtemp  mtemp 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C 
 20260323    16:08:54       0    387     41     48 
 20260323    16:08:54       1    357     46     53 
 20260323    16:08:54       2    342     43     50 
 20260323    16:08:54       3    363     41     49 
 20260323    16:09:24       0    147     35     44 
 20260323    16:09:24       1    141     38     46 
 20260323    16:09:24       2    137     38     45 
 20260323    16:09:24       3    131     36     43 
 20260323    16:09:54       0    147     35     44 
 20260323    16:09:54       1    140     37     46 
 20260323    16:09:54       2    137     37     44 
 20260323    16:09:54       3    130     35     43 
 20260323    16:10:24       0    147     35     44 
 20260323    16:10:24       1    140     37     44 
 20260323    16:10:24       2    136     37     44 
 20260323    16:10:24       3    130     35     43 
 20260323    16:10:54       0    146     35     42 
 20260323    16:10:54       1    140     37     44 
 20260323    16:10:54       2    136     37     44 
 20260323    16:10:54       3    130     35     43 
 20260323    16:11:24       0    146     35     44 
 20260323    16:11:24       1    140     37     44 
 20260323    16:11:24       2    137     37     44 
 20260323    16:11:24       3    130     35     43 
 20260323    16:11:54       0    147     35     43 
 20260323    16:11:54       1    139     37     44 
 20260323    16:11:54       2    136     37     43 
 20260323    16:11:54       3    130     35     43 
 20260323    16:12:24       0    406     45     55 
 20260323    16:12:24       1    391     47     58 
 20260323    16:12:24       2    389     47     55 
 20260323    16:12:24       3    377     45     54 
 20260323    16:12:54       0    319     41     48 
 20260323    16:12:54       1    330     47     52 
 20260323    16:12:54       2    334     47     52 
 20260323    16:12:54       3    334     45     48 
 20260323    16:13:24       0    321     41     48 
 20260323    16:13:24       1    296     45     52 
 20260323    16:13:24       2    288     45     50 
 20260323    16:13:24       3    284     43     48 
 20260323    16:13:54       0    149     35     44 
 20260323    16:13:54       1    142     37     46 
 20260323    16:13:54       2    138     37     44 
 20260323    16:13:54       3    133     36     43 
#Date        Time         gpu    pwr  gtemp  mtemp 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C 
 20260323    16:14:24       0    147     35     44 
 20260323    16:14:24       1    140     37     44 
 20260323    16:14:24       2    136     37     44 
 20260323    16:14:24       3    131     35     43 
