#Date        Time         gpu    pwr  gtemp  mtemp 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C 
 20260323    21:31:09       0    103     35     45 
 20260323    21:31:09       1    101     34     44 
 20260323    21:31:09       2     98     35     45 
 20260323    21:31:09       3     87     35     44 
 20260323    21:31:39       0    149     37     45 
 20260323    21:31:39       1    150     36     44 
 20260323    21:31:39       2    145     37     47 
 20260323    21:31:39       3    134     37     45 
 20260323    21:32:09       0    167     38     47 
 20260323    21:32:09       1    167     38     46 
 20260323    21:32:09       2    163     38     47 
 20260323    21:32:09       3    152     39     46 
 20260323    21:32:39       0    179     39     47 
 20260323    21:32:39       1    180     39     47 
 20260323    21:32:39       2    174     39     47 
 20260323    21:32:39       3    165     40     46 
 20260323    21:33:09       0    169     38     47 
 20260323    21:33:09       1    169     38     47 
 20260323    21:33:09       2    164     39     47 
 20260323    21:33:09       3    153     39     46 
 20260323    21:33:39       0    179     39     47 
 20260323    21:33:39       1    179     39     46 
 20260323    21:33:39       2    174     39     47 
 20260323    21:33:39       3    166     40     47 
 20260323    21:34:09       0    179     39     48 
 20260323    21:34:09       1    181     39     46 
 20260323    21:34:09       2    176     39     49 
 20260323    21:34:09       3    167     40     46 
 20260323    21:34:39       0    181     39     47 
 20260323    21:34:39       1    181     39     46 
 20260323    21:34:39       2    176     39     47 
 20260323    21:34:39       3    163     40     46 
 20260323    21:35:09       0    180     39     48 
 20260323    21:35:09       1    181     39     46 
 20260323    21:35:09       2    177     39     48 
 20260323    21:35:09       3    166     40     47 
 20260323    21:35:39       0    423     46     56 
 20260323    21:35:39       1    437     47     54 
 20260323    21:35:39       2    433     48     57 
 20260323    21:35:39       3    425     47     55 
 20260323    21:36:09       0    414     48     59 
 20260323    21:36:09       1    424     49     59 
 20260323    21:36:09       2    412     49     61 
 20260323    21:36:09       3    392     48     59 
#Date        Time         gpu    pwr  gtemp  mtemp 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C 
 20260323    21:36:39       0    330     44     53 
 20260323    21:36:39       1    366     45     54 
 20260323    21:36:39       2    366     47     57 
 20260323    21:36:39       3    340     45     54 
 20260323    21:37:09       0    175     39     49 
 20260323    21:37:09       1    176     39     48 
 20260323    21:37:09       2    172     40     50 
 20260323    21:37:09       3    161     40     48 
 20260323    21:37:39       0    177     39     47 
 20260323    21:37:39       1    177     39     48 
 20260323    21:37:39       2    172     39     49 
 20260323    21:37:39       3    162     40     46 
 20260323    21:38:09       0    166     38     48 
 20260323    21:38:09       1    168     38     46 
 20260323    21:38:09       2    163     38     47 
 20260323    21:38:09       3    152     39     46 
 20260323    21:38:39       0    427     47     59 
 20260323    21:38:39       1    441     49     60 
 20260323    21:38:39       2    415     49     62 
 20260323    21:38:39       3    414     49     60 
 20260323    21:39:09       0    392     46     57 
 20260323    21:39:09       1    415     47     57 
 20260323    21:39:09       2    405     48     57 
 20260323    21:39:09       3    388     48     58 
 20260323    21:39:39       0    185     40     49 
 20260323    21:39:39       1    185     41     50 
 20260323    21:39:39       2    182     41     51 
 20260323    21:39:39       3    170     41     48 
 20260323    21:40:09       0    168     39     47 
 20260323    21:40:09       1    168     39     48 
 20260323    21:40:09       2    165     39     49 
 20260323    21:40:09       3    153     40     48 
 20260323    21:40:39       0    417     48     58 
 20260323    21:40:39       1    406     49     58 
 20260323    21:40:39       2    388     49     60 
 20260323    21:40:39       3    371     49     60 
 20260323    21:41:09       0    411     47     58 
 20260323    21:41:09       1    433     48     58 
 20260323    21:41:09       2    425     48     59 
 20260323    21:41:09       3    407     49     57 
 20260323    21:41:39       0    391     48     61 
 20260323    21:41:39       1    421     49     60 
 20260323    21:41:39       2    411     49     63 
 20260323    21:41:39       3    402     49     59 
#Date        Time         gpu    pwr  gtemp  mtemp 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C 
 20260323    21:42:09       0    294     42     51 
 20260323    21:42:09       1    339     44     52 
 20260323    21:42:09       2    352     45     55 
