#Date        Time         gpu    pwr  gtemp  mtemp 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C 
 20260319    12:26:59       0     96     32     42 
 20260319    12:26:59       1     94     34     43 
 20260319    12:26:59       2     96     34     43 
 20260319    12:26:59       3     83     32     41 
 20260319    12:27:29       0    142     34     42 
 20260319    12:27:29       1    139     36     45 
 20260319    12:27:29       2    142     36     44 
 20260319    12:27:29       3    128     34     41 
 20260319    12:27:59       0    143     34     42 
 20260319    12:27:59       1    140     36     45 
 20260319    12:27:59       2    142     36     44 
 20260319    12:27:59       3    129     35     41 
 20260319    12:28:29       0    337     40     47 
 20260319    12:28:29       1    347     45     51 
 20260319    12:28:29       2    336     44     48 
 20260319    12:28:29       3    318     40     45 
 20260319    12:28:59       0    428     45     56 
 20260319    12:28:59       1    442     49     60 
 20260319    12:28:59       2    451     49     58 
 20260319    12:28:59       3    427     45     53 
 20260319    12:29:29       0    437     45     56 
 20260319    12:29:29       1    443     50     61 
 20260319    12:29:29       2    454     50     60 
 20260319    12:29:29       3    429     46     54 
 20260319    12:29:59       0    437     46     58 
 20260319    12:29:59       1    443     51     63 
 20260319    12:29:59       2    453     50     60 
 20260319    12:29:59       3    428     46     54 
 20260319    12:30:29       0    437     46     56 
 20260319    12:30:29       1    444     51     61 
 20260319    12:30:29       2    451     51     60 
 20260319    12:30:29       3    429     46     55 
 20260319    12:30:59       0    143     36     46 
 20260319    12:30:59       1    145     40     51 
 20260319    12:30:59       2    147     40     50 
 20260319    12:30:59       3    131     36     43 
 20260319    12:31:29       0    438     46     57 
 20260319    12:31:29       1    444     50     62 
 20260319    12:31:29       2    451     50     60 
 20260319    12:31:29       3    428     46     53 
 20260319    12:31:59       0    437     46     58 
 20260319    12:31:59       1    444     51     61 
 20260319    12:31:59       2    453     51     61 
 20260319    12:31:59       3    428     46     54 
#Date        Time         gpu    pwr  gtemp  mtemp 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C 
 20260319    12:32:29       0    439     46     56 
 20260319    12:32:29       1    444     51     63 
 20260319    12:32:29       2    452     51     60 
 20260319    12:32:29       3    429     46     56 
 20260319    12:32:59       0    437     46     58 
 20260319    12:32:59       1    446     51     64 
 20260319    12:32:59       2    451     51     61 
 20260319    12:32:59       3    429     46     53 
 20260319    12:33:29       0    430     44     54 
 20260319    12:33:29       1    439     47     59 
 20260319    12:33:29       2    449     48     57 
 20260319    12:33:29       3    425     44     51 
 20260319    12:33:59       0    436     46     58 
 20260319    12:33:59       1    446     51     63 
 20260319    12:33:59       2    453     51     61 
 20260319    12:33:59       3    428     46     55 
 20260319    12:34:29       0    438     46     59 
 20260319    12:34:29       1    444     51     63 
 20260319    12:34:29       2    453     51     61 
 20260319    12:34:29       3    427     46     53 
 20260319    12:34:59       0    436     46     58 
 20260319    12:34:59       1    436     51     61 
 20260319    12:34:59       2    449     51     61 
 20260319    12:34:59       3    423     46     55 
 20260319    12:35:29       0    208     42     55 
 20260319    12:35:29       1    205     45     59 
 20260319    12:35:29       2    146     41     52 
 20260319    12:35:29       3    131     36     45 
 20260319    12:35:59       0    436     46     56 
