#Date        Time         gpu    pwr  gtemp  mtemp 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C 
 20260321    07:34:48       0     83     32     42 
 20260321    07:34:48       1     93     34     43 
 20260321    07:34:48       2     82     33     43 
 20260321    07:34:48       3     89     33     41 
 20260321    07:35:18       0    130     34     42 
 20260321    07:35:18       1    140     36     44 
 20260321    07:35:18       2    128     35     44 
 20260321    07:35:18       3    136     35     41 
 20260321    07:35:48       0    130     34     43 
 20260321    07:35:48       1    140     36     44 
 20260321    07:35:48       2    128     35     44 
 20260321    07:35:48       3    137     35     43 
 20260321    07:36:18       0    146     35     43 
 20260321    07:36:18       1    155     38     44 
 20260321    07:36:18       2    144     37     46 
 20260321    07:36:18       3    154     36     43 
 20260321    07:36:48       0    431     45     56 
 20260321    07:36:48       1    441     48     58 
 20260321    07:36:48       2    433     47     58 
 20260321    07:36:48       3    439     47     58 
 20260321    07:37:18       0    430     45     57 
 20260321    07:37:18       1    447     48     58 
 20260321    07:37:18       2    445     48     58 
 20260321    07:37:18       3    436     47     58 
 20260321    07:37:48       0    430     45     58 
 20260321    07:37:48       1    442     48     59 
 20260321    07:37:48       2    435     47     57 
 20260321    07:37:48       3    440     47     56 
 20260321    07:38:18       0    430     45     57 
 20260321    07:38:18       1    438     49     60 
 20260321    07:38:18       2    430     48     58 
 20260321    07:38:18       3    438     47     58 
 20260321    07:38:48       0    335     44     50 
 20260321    07:38:48       1    345     47     53 
 20260321    07:38:48       2    336     46     52 
 20260321    07:38:48       3    346     46     51 
 20260321    07:39:18       0    345     45     51 
 20260321    07:39:18       1    359     48     54 
 20260321    07:39:18       2    351     46     55 
 20260321    07:39:18       3    356     46     52 
 20260321    07:39:48       0    347     45     51 
 20260321    07:39:48       1    360     48     55 
 20260321    07:39:48       2    350     46     53 
 20260321    07:39:48       3    354     46     51 
#Date        Time         gpu    pwr  gtemp  mtemp 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C 
 20260321    07:40:18       0    135     36     45 
 20260321    07:40:18       1    144     39     46 
 20260321    07:40:18       2    131     38     47 
 20260321    07:40:18       3    144     37     45 
 20260321    07:40:48       0    131     35     43 
 20260321    07:40:48       1    141     38     46 
 20260321    07:40:48       2    128     37     46 
 20260321    07:40:48       3    140     36     45 
 20260321    07:41:18       0    131     35     43 
 20260321    07:41:18       1    140     37     46 
 20260321    07:41:18       2    127     36     46 
 20260321    07:41:18       3    139     36     44 
