#Date        Time         gpu    pwr  gtemp  mtemp 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C 
 20260319    12:45:30       0     89     32     42 
 20260319    12:45:30       1     91     34     43 
 20260319    12:45:30       2     84     34     42 
 20260319    12:45:30       3     96     32     41 
 20260319    12:46:01       0    135     34     42 
 20260319    12:46:01       1    141     36     43 
 20260319    12:46:01       2    132     36     43 
 20260319    12:46:01       3    142     34     41 
 20260319    12:46:31       0    136     34     42 
 20260319    12:46:31       1    141     36     44 
 20260319    12:46:31       2    132     36     43 
 20260319    12:46:31       3    142     34     41 
 20260319    12:47:01       0    159     36     44 
 20260319    12:47:01       1    164     38     44 
 20260319    12:47:01       2    154     38     44 
 20260319    12:47:01       3    165     36     43 
 20260319    12:47:31       0    158     36     44 
 20260319    12:47:31       1    165     38     44 
 20260319    12:47:31       2    154     38     44 
 20260319    12:47:31       3    166     36     44 
 20260319    12:48:01       0    266     41     52 
 20260319    12:48:01       1    271     43     52 
 20260319    12:48:01       2    259     43     52 
 20260319    12:48:01       3    268     40     49 
 20260319    12:48:31       0    157     36     44 
 20260319    12:48:31       1    163     39     46 
 20260319    12:48:31       2    150     38     45 
 20260319    12:48:31       3    163     36     44 
 20260319    12:49:01       0    341     43     52 
 20260319    12:49:01       1    303     43     51 
 20260319    12:49:01       2    298     43     50 
 20260319    12:49:01       3    359     41     50 
 20260319    12:49:31       0    265     40     48 
 20260319    12:49:31       1    298     42     52 
 20260319    12:49:31       2    284     42     49 
 20260319    12:49:31       3    274     40     47 
 20260319    12:50:01       0    297     42     51 
 20260319    12:50:01       1    290     44     50 
 20260319    12:50:01       2    257     43     49 
 20260319    12:50:01       3    312     41     51 
 20260319    12:50:31       0    287     40     46 
 20260319    12:50:31       1    302     43     49 
 20260319    12:50:31       2    284     42     48 
 20260319    12:50:31       3    285     39     45 
#Date        Time         gpu    pwr  gtemp  mtemp 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C 
 20260319    12:51:01       0    144     35     44 
 20260319    12:51:01       1    152     38     46 
 20260319    12:51:01       2    138     37     45 
 20260319    12:51:01       3    148     35     43 
 20260319    12:51:31       0    137     35     42 
 20260319    12:51:31       1    144     37     44 
 20260319    12:51:31       2    131     37     44 
 20260319    12:51:31       3    142     34     43 
