#Date        Time         gpu    pwr  gtemp  mtemp 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C 
 20260324    00:59:55       0     95     32     40 
 20260324    00:59:55       1     95     34     42 
 20260324    00:59:55       2     97     34     43 
 20260324    00:59:55       3     87     32     41 
 20260324    01:00:25       0    139     34     40 
 20260324    01:00:25       1    143     36     42 
 20260324    01:00:25       2    146     36     43 
 20260324    01:00:25       3    135     34     41 
 20260324    01:00:55       0    140     34     40 
 20260324    01:00:55       1    143     36     42 
 20260324    01:00:55       2    146     37     45 
 20260324    01:00:55       3    134     35     41 
 20260324    01:01:25       0    140     34     40 
 20260324    01:01:25       1    143     36     42 
 20260324    01:01:25       2    147     37     45 
 20260324    01:01:25       3    134     34     41 
 20260324    01:01:55       0    140     34     40 
 20260324    01:01:55       1    143     36     42 
 20260324    01:01:55       2    146     37     45 
 20260324    01:01:55       3    134     34     41 
 20260324    01:02:25       0    139     34     40 
 20260324    01:02:25       1    143     36     42 
 20260324    01:02:25       2    146     37     44 
 20260324    01:02:25       3    134     34     41 
 20260324    01:02:55       0    140     34     40 
 20260324    01:02:55       1    143     36     42 
 20260324    01:02:55       2    146     36     45 
 20260324    01:02:55       3    135     34     41 
 20260324    01:03:25       0    140     34     40 
 20260324    01:03:25       1    143     36     42 
 20260324    01:03:25       2    146     37     45 
 20260324    01:03:25       3    135     34     42 
 20260324    01:03:55       0    140     34     40 
 20260324    01:03:55       1    143     36     42 
 20260324    01:03:55       2    146     37     45 
 20260324    01:03:55       3    134     34     42 
 20260324    01:04:25       0    139     34     40 
 20260324    01:04:25       1    143     36     42 
 20260324    01:04:25       2    146     36     45 
 20260324    01:04:25       3    134     34     41 
 20260324    01:04:55       0    140     34     40 
 20260324    01:04:55       1    143     36     42 
 20260324    01:04:55       2    146     36     45 
 20260324    01:04:55       3    134     34     41 
#Date        Time         gpu    pwr  gtemp  mtemp 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C 
 20260324    01:05:25       0    140     34     40 
 20260324    01:05:25       1    143     36     43 
 20260324    01:05:25       2    146     37     45 
 20260324    01:05:25       3    134     34     42 
 20260324    01:05:55       0    140     34     40 
 20260324    01:05:55       1    143     36     43 
 20260324    01:05:55       2    146     37     43 
 20260324    01:05:55       3    134     34     42 
 20260324    01:06:25       0    140     34     42 
 20260324    01:06:25       1    143     37     43 
 20260324    01:06:25       2    146     37     45 
 20260324    01:06:25       3    134     34     42 
 20260324    01:06:55       0    140     34     42 
 20260324    01:06:55       1    143     37     43 
 20260324    01:06:55       2    146     37     44 
 20260324    01:06:55       3    134     35     42 
 20260324    01:07:25       0    140     34     40 
 20260324    01:07:25       1    143     37     43 
 20260324    01:07:25       2    146     37     45 
 20260324    01:07:25       3    134     35     42 
 20260324    01:07:55       0    140     34     40 
 20260324    01:07:55       1    143     36     43 
 20260324    01:07:55       2    146     37     45 
