#Date        Time         gpu    pwr  gtemp  mtemp 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C 
 20260323    15:19:29       0     91     32     42 
 20260323    15:19:29       1     97     34     43 
 20260323    15:19:29       2     91     33     42 
 20260323    15:19:29       3     88     32     41 
 20260323    15:19:59       0    142     34     41 
 20260323    15:19:59       1    146     37     43 
 20260323    15:19:59       2    137     35     42 
 20260323    15:19:59       3    134     34     42 
 20260323    15:20:29       0    141     34     42 
 20260323    15:20:29       1    146     37     43 
 20260323    15:20:29       2    137     35     43 
 20260323    15:20:29       3    134     34     42 
 20260323    15:20:59       0    141     34     43 
 20260323    15:20:59       1    146     37     44 
 20260323    15:20:59       2    137     36     43 
 20260323    15:20:59       3    134     34     42 
 20260323    15:21:29       0    141     34     43 
 20260323    15:21:29       1    146     37     44 
 20260323    15:21:29       2    137     36     43 
 20260323    15:21:29       3    134     34     42 
 20260323    15:21:59       0    142     35     43 
 20260323    15:21:59       1    146     37     43 
 20260323    15:21:59       2    137     36     44 
 20260323    15:21:59       3    134     35     42 
 20260323    15:22:29       0    142     34     43 
 20260323    15:22:29       1    146     37     43 
 20260323    15:22:29       2    138     36     44 
 20260323    15:22:29       3    134     35     42 
 20260323    15:22:59       0    142     35     43 
 20260323    15:22:59       1    146     37     43 
 20260323    15:22:59       2    138     36     44 
 20260323    15:22:59       3    135     35     43 
 20260323    15:23:29       0    142     35     43 
 20260323    15:23:29       1    146     37     43 
 20260323    15:23:29       2    137     36     44 
 20260323    15:23:29       3    135     35     42 
 20260323    15:23:59       0    142     35     43 
 20260323    15:23:59       1    146     37     45 
 20260323    15:23:59       2    138     36     44 
 20260323    15:23:59       3    135     35     43 
 20260323    15:24:29       0    142     35     43 
 20260323    15:24:29       1    146     37     44 
 20260323    15:24:29       2    137     36     44 
 20260323    15:24:29       3    135     35     42 
#Date        Time         gpu    pwr  gtemp  mtemp 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C 
 20260323    15:24:59       0    142     35     43 
 20260323    15:24:59       1    146     38     45 
 20260323    15:24:59       2    138     36     44 
 20260323    15:24:59       3    135     35     43 
 20260323    15:25:29       0    142     35     43 
 20260323    15:25:29       1    146     38     44 
 20260323    15:25:29       2    138     36     44 
 20260323    15:25:29       3    135     35     43 
 20260323    15:25:59       0    142     35     43 
 20260323    15:25:59       1    146     38     45 
 20260323    15:25:59       2    138     36     44 
 20260323    15:25:59       3    135     35     43 
 20260323    15:26:29       0    142     35     44 
 20260323    15:26:29       1    146     38     45 
 20260323    15:26:29       2    138     36     44 
 20260323    15:26:29       3    135     35     43 
 20260323    15:26:59       0    142     35     43 
 20260323    15:26:59       1    146     38     45 
 20260323    15:26:59       2    138     37     44 
 20260323    15:26:59       3    135     35     43 
 20260323    15:27:29       0    142     35     43 
 20260323    15:27:29       1    146     38     45 
 20260323    15:27:29       2    137     37     44 
 20260323    15:27:29       3    135     35     43 
 20260323    15:27:59       0    142     35     43 
 20260323    15:27:59       1    146     38     45 
 20260323    15:27:59       2    137     36     44 
 20260323    15:27:59       3    135     35     43 
 20260323    15:28:29       0    142     35     43 
 20260323    15:28:29       1    147     38     45 
 20260323    15:28:29       2    138     36     44 
 20260323    15:28:29       3    134     35     43 
 20260323    15:28:59       0    142     35     43 
 20260323    15:28:59       1    146     38     44 
 20260323    15:28:59       2    137     36     44 
 20260323    15:28:59       3    135     35     43 
 20260323    15:29:29       0    142     35     43 
 20260323    15:29:29       1    146     38     45 
 20260323    15:29:29       2    138     36     44 
 20260323    15:29:29       3    134     35     42 
 20260323    15:29:59       0    142     35     43 
 20260323    15:29:59       1    146     38     45 
 20260323    15:29:59       2    138     36     44 
 20260323    15:29:59       3    135     35     42 
#Date        Time         gpu    pwr  gtemp  mtemp 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C 
 20260323    15:30:29       0    142     35     43 
 20260323    15:30:29       1    146     37     44 
 20260323    15:30:29       2    137     36     44 
 20260323    15:30:29       3    134     35     42 
 20260323    15:30:59       0    142     35     43 
 20260323    15:30:59       1    146     37     43 
 20260323    15:30:59       2    137     36     44 
 20260323    15:30:59       3    134     35     42 
 20260323    15:31:29       0    142     35     43 
 20260323    15:31:29       1    146     37     43 
 20260323    15:31:29       2    137     36     44 
 20260323    15:31:29       3    134     35     42 
 20260323    15:31:59       0    141     35     43 
 20260323    15:31:59       1    146     37     43 
 20260323    15:31:59       2    137     36     44 
 20260323    15:31:59       3    134     35     42 
 20260323    15:32:29       0    141     35     43 
 20260323    15:32:29       1    146     37     44 
 20260323    15:32:29       2    137     36     44 
 20260323    15:32:29       3    134     35     42 
 20260323    15:32:59       0    141     34     43 
 20260323    15:32:59       1    146     37     43 
 20260323    15:32:59       2    137     36     44 
 20260323    15:32:59       3    134     35     42 
 20260323    15:33:29       0    141     34     43 
 20260323    15:33:29       1    146     37     43 
 20260323    15:33:29       2    137     36     44 
 20260323    15:33:29       3    134     34     42 
 20260323    15:33:59       0    141     34     43 
 20260323    15:33:59       1    146     37     44 
 20260323    15:33:59       2    137     36     44 
 20260323    15:33:59       3    134     34     42 
 20260323    15:34:29       0    141     34     43 
 20260323    15:34:29       1    146     37     43 
 20260323    15:34:29       2    137     36     44 
 20260323    15:34:29       3    134     34     42 
 20260323    15:34:59       0    141     34     43 
 20260323    15:34:59       1    146     37     43 
 20260323    15:34:59       2    137     36     44 
 20260323    15:34:59       3    134     34     42 
 20260323    15:35:29       0    141     34     43 
 20260323    15:35:29       1    146     37     43 
 20260323    15:35:29       2    137     36     44 
 20260323    15:35:29       3    134     34     42 
#Date        Time         gpu    pwr  gtemp  mtemp 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C 
 20260323    15:35:59       0    141     34     43 
 20260323    15:35:59       1    146     37     44 
 20260323    15:35:59       2    137     36     44 
 20260323    15:35:59       3    134     34     42 
 20260323    15:36:29       0    141     34     43 
 20260323    15:36:29       1    146     37     43 
 20260323    15:36:29       2    138     36     44 
 20260323    15:36:29       3    134     34     42 
 20260323    15:36:59       0    141     34     43 
 20260323    15:36:59       1    146     37     43 
 20260323    15:36:59       2    137     36     44 
 20260323    15:36:59       3    134     34     42 
 20260323    15:37:29       0    141     34     43 
 20260323    15:37:29       1    146     37     44 
 20260323    15:37:29       2    137     36     44 
 20260323    15:37:29       3    134     34     42 
 20260323    15:37:59       0    141     34     43 
 20260323    15:37:59       1    146     37     44 
 20260323    15:37:59       2    137     36     44 
 20260323    15:37:59       3    134     34     42 
 20260323    15:38:29       0    141     34     43 
 20260323    15:38:29       1    146     37     44 
 20260323    15:38:29       2    137     36     44 
 20260323    15:38:29       3    134     34     42 
 20260323    15:38:59       0    142     34     43 
 20260323    15:38:59       1    146     37     43 
 20260323    15:38:59       2    138     36     44 
 20260323    15:38:59       3    134     34     42 
 20260323    15:39:29       0    141     34     43 
 20260323    15:39:29       1    146     37     43 
 20260323    15:39:29       2    137     36     44 
 20260323    15:39:29       3    134     34     42 
 20260323    15:39:59       0    141     34     43 
 20260323    15:39:59       1    146     37     44 
 20260323    15:39:59       2    137     36     44 
 20260323    15:39:59       3    134     34     42 
 20260323    15:40:29       0    141     34     43 
 20260323    15:40:29       1    146     37     44 
 20260323    15:40:29       2    137     36     44 
 20260323    15:40:29       3    134     34     42 
 20260323    15:40:59       0    141     34     43 
 20260323    15:40:59       1    146     37     44 
 20260323    15:40:59       2    137     36     44 
 20260323    15:40:59       3    134     34     42 
#Date        Time         gpu    pwr  gtemp  mtemp 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C 
 20260323    15:41:29       0    141     34     42 
 20260323    15:41:29       1    146     37     44 
 20260323    15:41:29       2    137     36     44 
 20260323    15:41:29       3    134     34     42 
 20260323    15:41:59       0    141     34     43 
 20260323    15:41:59       1    146     37     43 
 20260323    15:41:59       2    137     35     43 
 20260323    15:41:59       3    134     34     42 
